Survived,Pclass,Sex,Fare
0,3,0,7.25
1,1,1,71.2833
1,3,1,7.925
1,1,1,53.1
0,3,0,8.05
0,3,0,8.4583
0,1,0,51.8625
0,3,0,21.075
1,3,1,11.1333
1,2,1,30.0708
1,3,1,16.7
1,1,1,26.55
0,3,0,8.05
0,3,0,31.275
0,3,1,7.8542
1,2,1,16
0,3,0,29.125
1,2,0,13
0,3,1,18
1,3,1,7.225
0,2,0,26
1,2,0,13
1,3,1,8.0292
1,1,0,35.5
0,3,1,21.075
1,3,1,31.3875
0,3,0,7.225
0,1,0,263
1,3,1,7.8792
0,3,0,7.8958
0,1,0,27.7208
1,1,1,146.5208
1,3,1,7.75
0,2,0,10.5
0,1,0,82.1708
0,1,0,52
1,3,0,7.2292
0,3,0,8.05
0,3,1,18
1,3,1,11.2417
0,3,1,9.475
0,2,1,21
0,3,0,7.8958
1,2,1,41.5792
1,3,1,7.8792
0,3,0,8.05
0,3,0,15.5
1,3,1,7.75
0,3,0,21.6792
0,3,1,17.8
0,3,0,39.6875
0,3,0,7.8
1,1,1,76.7292
1,2,1,26
0,1,0,61.9792
1,1,0,35.5
1,2,1,10.5
0,3,0,7.2292
1,2,1,27.75
0,3,0,46.9
0,3,0,7.2292
1,1,1,80
0,1,0,83.475
0,3,0,27.9
0,1,0,27.7208
1,3,0,15.2458
1,2,1,10.5
0,3,0,8.1583
1,3,1,7.925
0,3,0,8.6625
0,2,0,10.5
0,3,1,46.9
0,2,0,73.5
0,3,0,14.4542
1,3,0,56.4958
0,3,0,7.65
0,3,0,7.8958
0,3,0,8.05
1,2,0,29
1,3,1,12.475
0,3,0,9
1,3,0,9.5
1,3,1,7.7875
0,1,0,47.1
1,2,1,10.5
1,3,1,15.85
0,3,0,34.375
0,3,0,8.05
1,1,1,263
0,3,0,8.05
0,3,0,8.05
0,3,0,7.8542
0,1,0,61.175
0,3,0,20.575
0,3,0,7.25
0,3,0,8.05
0,1,0,34.6542
1,1,0,63.3583
1,2,1,23
0,2,0,26
0,3,1,7.8958
0,3,0,7.8958
0,1,0,77.2875
0,3,0,8.6542
0,3,0,7.925
0,3,0,7.8958
1,3,1,7.65
1,3,0,7.775
0,3,0,7.8958
1,3,1,24.15
0,1,0,52
0,3,1,14.4542
0,3,0,8.05
0,3,1,9.825
0,3,1,14.4583
0,3,0,7.925
0,3,0,7.75
0,2,0,21
0,1,0,247.5208
0,3,1,31.275
0,2,0,73.5
0,3,0,8.05
0,2,0,30.0708
1,2,1,13
0,1,0,77.2875
1,3,0,11.2417
0,3,0,7.75
1,3,0,7.1417
1,3,1,22.3583
0,3,0,6.975
0,3,0,7.8958
0,3,0,7.05
0,3,1,14.5
1,2,1,26
0,2,0,13
0,2,0,15.0458
1,1,1,26.2833
0,1,0,53.1
0,3,0,9.2167
0,1,0,79.2
0,3,1,15.2458
1,3,1,7.75
1,3,1,15.85
0,3,0,6.75
0,2,0,11.5
0,2,0,36.75
1,3,0,7.7958
0,3,1,34.375
0,2,0,26
0,2,0,13
0,2,0,12.525
1,1,1,66.6
0,3,0,8.05
0,3,0,14.5
0,3,0,7.3125
0,1,0,61.3792
1,3,1,7.7333
0,3,0,8.05
0,3,0,8.6625
0,3,0,69.55
0,3,0,16.1
1,2,1,15.75
0,3,0,7.775
0,3,0,8.6625
0,3,0,39.6875
1,3,0,20.525
1,1,1,55
0,3,1,27.9
0,1,0,25.925
0,3,0,56.4958
0,1,0,33.5
0,3,0,29.125
1,3,1,11.1333
0,3,0,7.925
0,1,0,30.6958
0,3,0,7.8542
0,3,0,25.4667
0,1,1,28.7125
0,2,0,13
0,3,0,0
0,3,1,69.55
0,2,0,15.05
0,3,0,31.3875
1,2,0,39
1,3,1,22.025
0,1,0,50
1,3,1,15.5
1,1,0,26.55
0,3,0,15.5
0,3,0,7.8958
1,2,1,13
0,2,0,13
1,3,1,7.8542
1,2,0,26
1,1,1,27.7208
1,1,1,146.5208
0,3,0,7.75
0,3,0,8.4042
1,3,1,7.75
0,2,1,13
0,3,0,9.5
0,3,0,69.55
0,3,0,6.4958
0,3,0,7.225
1,3,0,8.05
0,3,1,10.4625
0,3,0,15.85
1,3,0,18.7875
1,3,1,7.75
1,1,0,31
0,3,0,7.05
1,2,1,21
0,3,0,7.25
0,2,0,13
0,3,0,7.75
1,1,1,113.275
1,3,1,7.925
0,2,0,27
1,1,1,76.2917
0,2,0,10.5
1,3,0,8.05
0,2,0,13
0,3,0,8.05
0,3,0,7.8958
1,1,0,90
0,3,0,9.35
1,2,0,10.5
0,3,0,7.25
0,2,0,13
0,3,1,25.4667
1,1,1,83.475
0,3,0,7.775
0,2,0,13.5
1,3,1,31.3875
0,2,0,10.5
0,3,1,7.55
0,2,0,26
1,2,1,26.25
0,2,0,10.5
0,2,0,12.275
0,3,1,14.4542
1,3,1,15.5
0,2,0,10.5
0,3,0,7.125
0,3,0,7.225
0,1,0,90
0,3,1,7.775
1,2,1,14.5
1,1,0,52.5542
0,2,0,26
0,3,0,7.25
0,3,1,10.4625
0,1,0,26.55
0,3,0,16.1
0,3,1,20.2125
1,3,1,15.2458
1,1,1,79.2
1,1,1,86.5
1,1,1,512.3292
1,2,1,26
0,3,0,7.75
1,3,0,31.3875
0,1,0,79.65
0,1,0,0
0,3,1,7.75
0,2,0,10.5
0,3,0,39.6875
1,3,0,7.775
1,1,1,153.4625
1,1,1,135.6333
0,1,0,31
1,3,0,0
1,2,1,19.5
0,1,0,29.7
1,3,1,7.75
1,1,1,77.9583
0,3,1,7.75
0,2,0,0
0,3,0,29.125
1,3,1,20.25
0,3,0,7.75
0,3,0,7.8542
0,3,0,9.5
1,3,0,8.05
0,1,0,26
0,3,0,8.6625
1,3,0,9.5
0,3,0,7.8958
1,2,0,13
1,3,1,7.75
1,1,1,78.85
1,1,1,91.0792
0,2,0,12.875
0,3,1,8.85
0,3,0,7.8958
0,1,0,27.7208
0,3,0,7.2292
0,1,1,151.55
1,1,0,30.5
1,1,1,247.5208
1,3,1,7.75
1,3,0,23.25
0,3,0,0
1,2,1,12.35
0,3,0,8.05
1,1,0,151.55
1,1,1,110.8833
1,1,1,108.9
0,2,0,24
1,1,1,56.9292
1,1,1,83.1583
1,1,1,262.375
0,2,1,26
0,3,0,7.8958
0,2,0,26.25
1,3,1,7.8542
1,2,1,26
0,2,0,14
1,1,1,164.8667
1,1,1,134.5
0,3,0,7.25
0,3,0,7.8958
1,2,1,12.35
1,2,1,29
0,3,0,69.55
1,1,1,135.6333
0,3,0,6.2375
1,2,1,13
1,3,1,20.525
1,1,1,57.9792
1,3,1,23.25
0,1,0,28.5
0,1,0,153.4625
0,3,0,18
1,1,1,133.65
0,3,0,7.8958
0,1,0,66.6
1,1,1,134.5
1,3,0,8.05
0,1,0,35.5
1,2,0,26
1,1,1,263
0,2,0,13
0,2,0,13
0,2,0,13
1,2,1,13
1,2,1,13
1,3,1,16.1
1,3,0,15.9
0,3,0,8.6625
0,3,0,9.225
0,1,0,35
0,3,0,7.2292
0,3,0,17.8
0,3,0,7.225
0,3,0,9.5
1,1,1,55
0,2,1,13
1,3,1,7.8792
1,3,1,7.8792
0,3,0,27.9
0,2,0,27.7208
0,3,1,14.4542
0,3,0,7.05
0,3,0,15.5
0,3,0,7.25
1,1,1,75.25
1,3,1,7.2292
1,3,1,7.75
1,1,1,69.3
1,1,0,55.4417
0,3,0,6.4958
0,3,0,8.05
0,1,0,135.6333
0,3,1,21.075
1,1,1,82.1708
1,3,1,7.25
0,1,0,211.5
0,3,0,4.0125
0,3,0,7.775
1,1,1,227.525
1,3,1,15.7417
0,3,0,7.925
1,1,1,52
0,3,0,7.8958
0,2,0,73.5
0,3,0,46.9
1,2,1,13
0,3,0,7.7292
1,2,1,12
1,1,0,120
1,3,0,7.7958
0,3,0,7.925
1,1,1,113.275
1,3,1,16.7
0,3,0,7.7958
0,3,1,7.8542
0,2,0,26
0,2,0,10.5
1,2,1,12.65
1,3,0,7.925
0,3,0,8.05
0,3,1,9.825
0,3,0,15.85
0,3,1,8.6625
0,2,0,21
0,3,0,7.75
1,2,0,18.75
0,3,0,7.775
0,3,1,25.4667
0,3,0,7.8958
0,3,0,6.8583
1,1,1,90
0,2,0,0
1,3,0,7.925
0,3,1,8.05
1,2,1,32.5
1,2,1,13
0,2,0,13
0,3,1,24.15
0,3,0,7.8958
0,3,0,7.7333
0,3,0,7.875
0,3,1,14.4
0,3,0,20.2125
0,3,0,7.25
1,2,1,26
1,2,1,26
0,3,0,7.75
1,3,0,8.05
1,1,0,26.55
1,3,1,16.1
1,2,1,26
0,3,0,7.125
0,1,0,55.9
1,1,1,120
0,3,1,34.375
1,2,1,18.75
0,1,0,263
0,2,0,10.5
1,2,1,26.25
0,3,0,9.5
0,3,0,7.775
1,2,1,13
1,3,0,8.1125
1,1,0,81.8583
1,2,1,19.5
1,1,0,26.55
1,3,1,19.2583
1,1,0,30.5
0,2,0,27.75
0,3,0,19.9667
0,1,0,27.75
1,1,0,89.1042
0,3,0,8.05
1,3,0,7.8958
0,1,0,26.55
1,1,1,51.8625
1,2,1,10.5
0,3,0,7.75
1,1,0,26.55
0,3,0,8.05
0,1,0,38.5
0,2,0,13
0,3,0,8.05
0,3,0,7.05
0,2,0,0
0,1,0,26.55
0,3,0,7.725
1,3,1,19.2583
0,3,0,7.25
0,3,0,8.6625
1,2,1,27.75
1,2,1,13.7917
0,3,1,9.8375
0,1,0,52
0,2,0,21
0,3,0,7.0458
0,3,0,7.5208
1,3,1,12.2875
0,3,0,46.9
0,2,0,0
0,3,0,8.05
1,3,1,9.5875
1,1,0,91.0792
0,3,1,25.4667
1,1,1,90
0,1,0,29.7
0,3,0,8.05
1,3,0,15.9
0,3,0,19.9667
0,3,0,7.25
0,1,0,30.5
0,1,0,49.5042
0,3,0,8.05
0,3,0,14.4583
1,1,1,78.2667
0,3,0,15.1
0,1,1,151.55
0,3,0,7.7958
0,3,0,8.6625
0,3,1,7.75
0,3,1,7.6292
0,3,1,9.5875
1,1,1,86.5
0,1,0,108.9
1,2,1,26
1,1,0,26.55
0,3,0,22.525
1,3,0,56.4958
1,3,0,7.75
0,3,0,8.05
1,1,0,26.2875
1,1,1,59.4
0,3,0,7.4958
0,1,0,34.0208
1,2,1,10.5
0,3,0,24.15
1,2,1,26
0,3,0,7.8958
1,1,1,93.5
0,3,0,7.8958
0,3,0,7.225
1,1,1,57.9792
0,3,0,7.2292
0,3,0,7.75
1,2,1,10.5
0,1,0,221.7792
0,3,0,7.925
0,2,0,11.5
1,2,1,26
0,3,0,7.2292
0,3,0,7.2292
1,3,1,22.3583
0,3,1,8.6625
1,2,1,26.25
0,1,0,26.55
1,1,1,106.425
0,3,0,14.5
1,1,1,49.5
1,1,1,71
0,3,1,31.275
0,3,1,31.275
1,2,0,26
0,1,0,106.425
0,1,0,26
1,2,1,26
1,2,0,13.8625
0,3,0,20.525
1,2,0,36.75
1,1,0,110.8833
0,2,0,26
0,3,0,7.8292
1,3,0,7.225
1,3,1,7.775
0,1,0,26.55
1,1,1,39.6
0,1,0,227.525
1,1,1,79.65
1,3,1,17.4
0,3,0,7.75
0,3,0,7.8958
0,2,0,13.5
0,3,0,8.05
0,3,1,8.05
0,3,0,24.15
0,3,0,7.8958
0,3,1,21.075
0,3,0,7.2292
1,3,0,7.8542
1,2,0,10.5
1,1,1,51.4792
1,1,0,26.3875
1,3,1,7.75
0,3,0,8.05
0,3,0,14.5
1,2,1,13
1,1,1,55.9
0,3,1,14.4583
1,3,0,7.925
1,2,1,30
1,1,1,110.8833
0,2,0,26
0,1,0,40.125
0,3,0,8.7125
1,1,1,79.65
0,2,0,15
1,1,0,79.2
0,3,0,8.05
0,3,0,8.05
0,3,0,7.125
1,1,1,78.2667
0,3,0,7.25
0,3,1,7.75
0,2,0,26
0,3,0,24.15
1,2,1,33
0,3,0,0
0,3,0,7.225
1,1,0,56.9292
1,2,1,27
0,3,0,7.8958
0,1,0,42.4
0,3,0,8.05
1,1,0,26.55
0,3,0,15.55
0,3,0,7.8958
1,1,0,30.5
1,2,1,41.5792
1,1,1,153.4625
0,3,1,31.275
0,3,0,7.05
1,3,1,15.5
0,3,0,7.75
0,3,0,8.05
1,2,1,65
0,3,0,14.4
0,3,1,16.1
1,2,1,39
0,2,0,10.5
0,3,0,14.4542
1,1,0,52.5542
1,3,0,15.7417
0,3,0,7.8542
0,3,0,16.1
0,1,0,32.3208
0,2,0,12.35
1,1,1,77.9583
0,3,0,7.8958
0,3,0,7.7333
1,1,0,30
0,3,0,7.0542
1,1,0,30.5
0,1,0,0
0,3,1,27.9
1,2,1,13
0,3,0,7.925
0,2,0,26.25
0,3,1,39.6875
0,3,0,16.1
0,3,0,7.8542
1,1,1,69.3
0,3,1,27.9
1,3,0,56.4958
1,3,1,19.2583
1,1,0,76.7292
0,3,0,7.8958
1,1,0,35.5
0,3,0,7.55
1,3,1,7.55
0,3,0,7.8958
1,2,1,23
0,3,0,8.4333
1,3,1,7.8292
0,3,1,6.75
0,2,0,73.5
0,3,0,7.8958
0,3,1,15.5
0,2,0,13
0,1,0,113.275
1,1,0,133.65
0,3,0,7.225
0,1,0,25.5875
0,3,0,7.4958
1,3,0,7.925
0,2,0,73.5
0,2,0,13
0,3,0,7.775
0,3,0,8.05
1,1,1,52
1,2,1,39
0,1,0,52
0,2,0,10.5
1,2,0,13
0,2,0,0
0,3,0,7.775
0,3,0,8.05
1,3,1,9.8417
0,3,1,46.9
1,1,0,512.3292
0,3,1,8.1375
1,1,0,76.7292
0,3,0,9.225
0,3,0,46.9
0,2,0,39
0,2,0,41.5792
0,3,0,39.6875
0,3,0,10.1708
0,3,0,7.7958
1,1,1,211.3375
1,1,0,57
1,3,1,13.4167
1,3,0,56.4958
0,3,0,7.225
0,1,0,26.55
0,2,0,13.5
0,3,0,8.05
1,3,1,7.7333
0,1,0,110.8833
0,3,0,7.65
1,1,1,227.525
1,1,0,26.2875
0,3,1,14.4542
0,3,0,7.7417
0,3,0,7.8542
0,2,0,26
1,2,1,13.5
1,1,0,26.2875
1,1,1,151.55
1,3,0,15.2458
1,1,1,49.5042
0,1,0,26.55
1,1,0,52
0,3,0,9.4833
0,2,0,13
0,3,0,7.65
1,1,1,227.525
1,2,1,10.5
0,3,0,15.5
0,3,0,7.775
1,2,1,33
0,3,0,7.0542
0,2,0,13
0,2,0,13
1,1,0,53.1
0,3,0,8.6625
1,2,1,21
1,3,1,7.7375
0,2,0,26
0,3,1,7.925
1,1,1,211.3375
0,3,0,18.7875
0,2,0,0
0,2,0,13
0,2,0,13
0,3,0,16.1
0,3,1,34.375
1,1,0,512.3292
0,3,0,7.8958
0,3,0,7.8958
1,1,0,30
0,1,0,78.85
1,1,1,262.375
0,3,0,16.1
1,3,0,7.925
0,1,0,71
0,3,0,20.25
1,2,1,13
0,1,0,53.1
0,3,0,7.75
1,2,1,23
1,3,0,12.475
0,3,0,9.5
0,3,0,7.8958
1,2,1,65
1,2,0,14.5
0,3,0,7.7958
0,2,0,11.5
0,3,0,8.05
1,1,1,86.5
0,3,0,14.5
0,3,0,7.125
1,3,0,7.2292
1,1,1,120
0,3,0,7.775
1,1,1,77.9583
0,1,0,39.6
0,3,1,7.75
0,3,0,24.15
0,3,0,8.3625
0,3,0,9.5
0,3,0,7.8542
0,2,1,10.5
0,3,0,7.225
1,2,1,23
0,3,0,7.75
0,3,0,7.75
1,3,1,12.475
0,3,0,7.7375
1,1,1,211.3375
1,3,1,7.2292
1,1,1,57
0,1,0,30
0,3,0,23.45
0,3,0,7.05
0,3,0,7.25
1,3,1,7.4958
0,3,0,29.125
1,3,0,20.575
0,1,0,79.2
0,3,0,7.75
0,2,0,26
0,3,1,69.55
0,1,0,30.6958
0,3,0,7.8958
0,2,0,13
1,1,1,25.9292
1,3,1,8.6833
0,3,0,7.2292
0,3,1,24.15
0,2,0,13
1,2,1,26.25
1,1,0,120
1,3,0,8.5167
1,3,0,6.975
0,3,0,7.775
0,1,0,0
0,3,1,7.775
0,2,0,13
1,1,1,53.1
0,3,0,7.8875
0,3,0,24.15
0,2,0,10.5
0,3,1,31.275
0,3,0,8.05
0,1,0,0
0,3,1,7.925
0,2,0,37.0042
0,3,0,6.45
0,3,0,27.9
1,1,1,93.5
1,3,0,8.6625
0,1,0,0
1,3,1,12.475
0,3,0,39.6875
0,3,0,6.95
0,3,0,56.4958
1,2,0,37.0042
1,3,0,7.75
1,1,1,80
1,3,1,14.4542
1,2,0,18.75
0,3,0,7.2292
0,3,0,7.8542
0,3,0,8.3
1,1,1,83.1583
0,3,0,8.6625
0,3,0,8.05
1,3,0,56.4958
1,1,0,29.7
0,3,0,7.925
0,2,0,10.5
1,1,1,31
0,3,0,6.4375
0,3,0,8.6625
0,3,0,7.55
0,3,0,69.55
0,3,0,7.8958
0,2,0,33
1,1,1,89.1042
0,3,0,31.275
0,3,0,7.775
0,3,1,15.2458
1,1,1,39.4
0,2,1,26
1,3,1,9.35
1,1,1,164.8667
1,1,0,26.55
1,3,1,19.2583
0,3,0,7.2292
0,3,0,14.1083
0,2,0,11.5
1,1,1,25.9292
0,3,1,69.55
0,2,0,13
1,2,1,13
1,2,1,13.8583
0,1,0,50.4958
0,3,0,9.5
1,3,0,11.1333
0,3,0,7.8958
1,1,1,52.5542
0,1,0,5
0,3,0,9
1,2,1,24
1,3,1,7.225
0,3,0,9.8458
0,3,0,7.8958
0,3,0,7.8958
1,1,1,83.1583
1,2,1,26
0,3,0,7.8958
0,3,1,10.5167
0,2,0,10.5
0,3,0,7.05
0,3,1,29.125
0,2,0,13
1,1,1,30
0,3,1,23.45
1,1,0,30
0,3,0,7.75
